"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W01";"CH033";"Y70T74";"T";"P";11
"2021-W01";"CH033";"Y70T74";"F";"P";5
"2021-W01";"CH033";"Y70T74";"M";"P";6
"2021-W01";"CH033";"Y75T79";"T";"P";15
"2021-W01";"CH033";"Y75T79";"F";"P";8
"2021-W01";"CH033";"Y75T79";"M";"P";7
"2021-W01";"CH033";"Y80T84";"T";"P";23
"2021-W01";"CH033";"Y80T84";"F";"P";9
"2021-W01";"CH033";"Y80T84";"M";"P";14
"2021-W01";"CH033";"Y85T89";"T";"P";29
"2021-W01";"CH033";"Y85T89";"F";"P";19
"2021-W01";"CH033";"Y85T89";"M";"P";10
"2021-W01";"CH033";"Y_GE90";"T";"P";50
"2021-W01";"CH033";"Y_GE90";"F";"P";36
"2021-W01";"CH033";"Y_GE90";"M";"P";14
"2021-W01";"CH040";"_T";"T";"P";315
"2021-W01";"CH040";"_T";"F";"P";158
"2021-W01";"CH040";"_T";"M";"P";157
"2021-W01";"CH040";"Y0T4";"T";"P";1
"2021-W01";"CH040";"Y0T4";"F";"P";1
"2021-W01";"CH040";"Y30T34";"T";"P";1
"2021-W01";"CH040";"Y30T34";"M";"P";1
"2021-W01";"CH040";"Y35T39";"T";"P";1
"2021-W01";"CH040";"Y35T39";"M";"P";1
"2021-W01";"CH040";"Y40T44";"T";"P";1
"2021-W01";"CH040";"Y40T44";"F";"P";1
"2021-W01";"CH040";"Y45T49";"T";"P";2
"2021-W01";"CH040";"Y45T49";"M";"P";2
"2021-W01";"CH040";"Y50T54";"T";"P";9
"2021-W01";"CH040";"Y50T54";"F";"P";2
"2021-W01";"CH040";"Y50T54";"M";"P";7
"2021-W01";"CH040";"Y55T59";"T";"P";5
"2021-W01";"CH040";"Y55T59";"F";"P";1
"2021-W01";"CH040";"Y55T59";"M";"P";4
"2021-W01";"CH040";"Y60T64";"T";"P";13
"2021-W01";"CH040";"Y60T64";"M";"P";13
"2021-W01";"CH040";"Y65T69";"T";"P";15
"2021-W01";"CH040";"Y65T69";"F";"P";3
"2021-W01";"CH040";"Y65T69";"M";"P";12
"2021-W01";"CH040";"Y70T74";"T";"P";20
"2021-W01";"CH040";"Y70T74";"F";"P";9
"2021-W01";"CH040";"Y70T74";"M";"P";11
"2021-W01";"CH040";"Y75T79";"T";"P";37
"2021-W01";"CH040";"Y75T79";"F";"P";19
"2021-W01";"CH040";"Y75T79";"M";"P";18
"2021-W01";"CH040";"Y80T84";"T";"P";42
"2021-W01";"CH040";"Y80T84";"F";"P";18
"2021-W01";"CH040";"Y80T84";"M";"P";24
"2021-W01";"CH040";"Y85T89";"T";"P";62
"2021-W01";"CH040";"Y85T89";"F";"P";33
"2021-W01";"CH040";"Y85T89";"M";"P";29
"2021-W01";"CH040";"Y_GE90";"T";"P";106
"2021-W01";"CH040";"Y_GE90";"F";"P";71
"2021-W01";"CH040";"Y_GE90";"M";"P";35
"2021-W01";"CH051";"_T";"T";"P";14
"2021-W01";"CH051";"_T";"F";"P";6
"2021-W01";"CH051";"_T";"M";"P";8
"2021-W01";"CH051";"Y65T69";"T";"P";1
"2021-W01";"CH051";"Y65T69";"M";"P";1
"2021-W01";"CH051";"Y70T74";"T";"P";1
"2021-W01";"CH051";"Y70T74";"F";"P";1
"2021-W01";"CH051";"Y75T79";"T";"P";2
"2021-W01";"CH051";"Y75T79";"F";"P";2
"2021-W01";"CH051";"Y80T84";"T";"P";3
"2021-W01";"CH051";"Y80T84";"F";"P";1
"2021-W01";"CH051";"Y80T84";"M";"P";2
"2021-W01";"CH051";"Y85T89";"T";"P";5
"2021-W01";"CH051";"Y85T89";"F";"P";1
"2021-W01";"CH051";"Y85T89";"M";"P";4
"2021-W01";"CH051";"Y_GE90";"T";"P";2
"2021-W01";"CH051";"Y_GE90";"F";"P";1
"2021-W01";"CH051";"Y_GE90";"M";"P";1
"2021-W01";"CH052";"_T";"T";"P";18
"2021-W01";"CH052";"_T";"F";"P";9
"2021-W01";"CH052";"_T";"M";"P";9
"2021-W01";"CH052";"Y50T54";"T";"P";1
"2021-W01";"CH052";"Y50T54";"M";"P";1
"2021-W01";"CH052";"Y70T74";"T";"P";1
"2021-W01";"CH052";"Y70T74";"F";"P";1
"2021-W01";"CH052";"Y75T79";"T";"P";6
"2021-W01";"CH052";"Y75T79";"F";"P";2
"2021-W01";"CH052";"Y75T79";"M";"P";4
"2021-W01";"CH052";"Y80T84";"T";"P";1
"2021-W01";"CH052";"Y80T84";"M";"P";1
"2021-W01";"CH052";"Y85T89";"T";"P";1
"2021-W01";"CH052";"Y85T89";"F";"P";1
"2021-W01";"CH052";"Y_GE90";"T";"P";8
"2021-W01";"CH052";"Y_GE90";"F";"P";5
"2021-W01";"CH052";"Y_GE90";"M";"P";3
"2021-W01";"CH053";"_T";"T";"P";16
"2021-W01";"CH053";"_T";"F";"P";7
"2021-W01";"CH053";"_T";"M";"P";9
"2021-W01";"CH053";"Y50T54";"T";"P";1
"2021-W01";"CH053";"Y50T54";"M";"P";1
"2021-W01";"CH053";"Y55T59";"T";"P";1
"2021-W01";"CH053";"Y55T59";"F";"P";1
"2021-W01";"CH053";"Y65T69";"T";"P";1
"2021-W01";"CH053";"Y65T69";"M";"P";1
"2021-W01";"CH053";"Y70T74";"T";"P";1
"2021-W01";"CH053";"Y70T74";"M";"P";1
"2021-W01";"CH053";"Y75T79";"T";"P";1
"2021-W01";"CH053";"Y75T79";"M";"P";1
"2021-W01";"CH053";"Y80T84";"T";"P";1
"2021-W01";"CH053";"Y80T84";"M";"P";1
"2021-W01";"CH053";"Y85T89";"T";"P";5
"2021-W01";"CH053";"Y85T89";"F";"P";2
"2021-W01";"CH053";"Y85T89";"M";"P";3
"2021-W01";"CH053";"Y_GE90";"T";"P";5
"2021-W01";"CH053";"Y_GE90";"F";"P";4
"2021-W01";"CH053";"Y_GE90";"M";"P";1
"2021-W01";"CH054";"_T";"T";"P";2
"2021-W01";"CH054";"_T";"F";"P";1
"2021-W01";"CH054";"_T";"M";"P";1
"2021-W01";"CH054";"Y70T74";"T";"P";1
"2021-W01";"CH054";"Y70T74";"M";"P";1
"2021-W01";"CH054";"Y80T84";"T";"P";1
"2021-W01";"CH054";"Y80T84";"F";"P";1
"2021-W01";"CH055";"_T";"T";"P";118
"2021-W01";"CH055";"_T";"F";"P";60
"2021-W01";"CH055";"_T";"M";"P";58
"2021-W01";"CH055";"Y50T54";"T";"P";2
"2021-W01";"CH055";"Y50T54";"F";"P";2
"2021-W01";"CH055";"Y55T59";"T";"P";1
"2021-W01";"CH055";"Y55T59";"M";"P";1
"2021-W01";"CH055";"Y60T64";"T";"P";5
"2021-W01";"CH055";"Y60T64";"F";"P";2
"2021-W01";"CH055";"Y60T64";"M";"P";3
"2021-W01";"CH055";"Y65T69";"T";"P";4
"2021-W01";"CH055";"Y65T69";"F";"P";2
"2021-W01";"CH055";"Y65T69";"M";"P";2
"2021-W01";"CH055";"Y70T74";"T";"P";10
"2021-W01";"CH055";"Y70T74";"F";"P";1
"2021-W01";"CH055";"Y70T74";"M";"P";9
"2021-W01";"CH055";"Y75T79";"T";"P";12
"2021-W01";"CH055";"Y75T79";"F";"P";4
"2021-W01";"CH055";"Y75T79";"M";"P";8
"2021-W01";"CH055";"Y80T84";"T";"P";19
"2021-W01";"CH055";"Y80T84";"F";"P";7
"2021-W01";"CH055";"Y80T84";"M";"P";12
"2021-W01";"CH055";"Y85T89";"T";"P";32
"2021-W01";"CH055";"Y85T89";"F";"P";18
"2021-W01";"CH055";"Y85T89";"M";"P";14
"2021-W01";"CH055";"Y_GE90";"T";"P";33
"2021-W01";"CH055";"Y_GE90";"F";"P";24
"2021-W01";"CH055";"Y_GE90";"M";"P";9
"2021-W01";"CH056";"_T";"T";"P";45
"2021-W01";"CH056";"_T";"F";"P";20
"2021-W01";"CH056";"_T";"M";"P";25
"2021-W01";"CH056";"Y0T4";"T";"P";1
"2021-W01";"CH056";"Y0T4";"M";"P";1
"2021-W01";"CH056";"Y50T54";"T";"P";1
"2021-W01";"CH056";"Y50T54";"M";"P";1
"2021-W01";"CH056";"Y55T59";"T";"P";2
"2021-W01";"CH056";"Y55T59";"M";"P";2
"2021-W01";"CH056";"Y60T64";"T";"P";1
"2021-W01";"CH056";"Y60T64";"F";"P";1
"2021-W01";"CH056";"Y65T69";"T";"P";5
"2021-W01";"CH056";"Y65T69";"F";"P";1
"2021-W01";"CH056";"Y65T69";"M";"P";4
"2021-W01";"CH056";"Y70T74";"T";"P";1
"2021-W01";"CH056";"Y70T74";"M";"P";1
"2021-W01";"CH056";"Y75T79";"T";"P";3
